epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
161,8444.44,0.61551,0.42943,0.96384,0.89522,0.78497,0.85345,0.71351,0.80266,0.61266,1.14623,0.00208,0.00208,0.00208
162,8492.87,0.63102,0.43273,0.96833,0.89338,0.78541,0.85395,0.71312,0.80244,0.6114,1.14707,0.0020305,0.0020305,0.0020305
163,8541.51,0.61982,0.42667,0.96678,0.88833,0.78705,0.85375,0.71273,0.80294,0.61221,1.14801,0.001981,0.001981,0.001981
164,8590.34,0.62069,0.42726,0.96386,0.88971,0.78671,0.85399,0.71408,0.80318,0.61199,1.14912,0.0019315,0.0019315,0.0019315
165,8639.11,0.61157,0.42701,0.96404,0.89576,0.7857,0.8539,0.71452,0.80309,0.61295,1.1491,0.001882,0.001882,0.001882
166,8688.12,0.61009,0.42084,0.95671,0.89313,0.78767,0.85347,0.71368,0.80279,0.61155,1.14976,0.0018325,0.0018325,0.0018325
167,8736.6,0.60429,0.41525,0.95785,0.89641,0.78236,0.85339,0.71378,0.8027,0.61071,1.15059,0.001783,0.001783,0.001783
168,8785.17,0.60894,0.41797,0.95872,0.89794,0.7815,0.85265,0.71373,0.80227,0.61141,1.15073,0.0017335,0.0017335,0.0017335
169,8833.75,0.60633,0.41631,0.96113,0.89479,0.7827,0.85323,0.71377,0.80272,0.61316,1.15155,0.001684,0.001684,0.001684
170,8882.45,0.6004,0.41075,0.95391,0.89485,0.78208,0.85328,0.71394,0.80245,0.61193,1.15135,0.0016345,0.0016345,0.0016345
171,8931.03,0.59789,0.40446,0.95215,0.89506,0.78117,0.85373,0.71418,0.8016,0.61198,1.15077,0.001585,0.001585,0.001585
172,8979.52,0.5995,0.407,0.95509,0.89804,0.77927,0.85315,0.71454,0.80062,0.61303,1.15092,0.0015355,0.0015355,0.0015355
173,9028.1,0.59483,0.40801,0.95449,0.90535,0.77496,0.85274,0.71399,0.8008,0.61376,1.15184,0.001486,0.001486,0.001486
174,9076.5,0.58885,0.40675,0.95466,0.90583,0.77443,0.85223,0.71435,0.79995,0.61375,1.15164,0.0014365,0.0014365,0.0014365
175,9124.96,0.58691,0.40069,0.95094,0.90577,0.77488,0.85182,0.71437,0.79994,0.61275,1.15304,0.001387,0.001387,0.001387
176,9173.67,0.58475,0.39974,0.94989,0.90561,0.77389,0.85234,0.71496,0.79889,0.61398,1.15251,0.0013375,0.0013375,0.0013375
